Feature,Normalized.Dispersion
ENSG00000203356,NaN
ENSG00000123091,27.294142277590307
ENSG00000236434,-0.5164472826385215
ENSG00000085831,-1.4812588361779904
ENSG00000261664,NaN
ENSG00000085832,0.5366348379419682
ENSG00000238140,NaN
ENSG00000227070,NaN
ENSG00000117859,0.11598705580471058
ENSG00000078618,3.9759120199936127
ENSG00000266993,-1.2745396849399213
ENSG00000272175,NaN
ENSG00000169213,NaN
ENSG00000117862,-2.198548214562607
ENSG00000198841,-0.5699041838088833
ENSG00000134717,-1.1709482066987336
ENSG00000157077,-1.0188944593105442
ENSG00000154222,-0.015691633501812303
ENSG00000272100,NaN
ENSG00000287078,0.08794204233960669
ENSG00000085840,-0.8535737879521951
ENSG00000134748,-0.38908856943984726
ENSG00000134744,-0.44768664347766146
ENSG00000116157,0.8865878020935541
ENSG00000182183,-0.9364467449380088
ENSG00000162377,-1.6812260658180076
ENSG00000162378,0.05124571800752524
ENSG00000203995,NaN
ENSG00000121310,-1.0539769564849792
ENSG00000116171,0.39654312370730926
ENSG00000174348,1.2705855424944998
ENSG00000162383,8.293349138741982
ENSG00000157184,0.8139338472169547
ENSG00000236723,-1.3130312567276639
ENSG00000162384,-1.0174126348087105
ENSG00000259818,-0.39948203629968093
ENSG00000162385,-1.602981289155304
ENSG00000226754,-0.7459144343653639
ENSG00000157193,0.1088994390583051
ENSG00000234578,NaN
ENSG00000225675,-0.4806755363494397
ENSG00000230138,-1.1814816850420893
ENSG00000058804,-0.370165939996932
ENSG00000058799,0.5631917477104121
ENSG00000211452,NaN
ENSG00000081870,-0.8172773196285789
ENSG00000116212,-0.06523489717611132
ENSG00000203985,NaN
ENSG00000116209,-0.7117620652088467
ENSG00000116205,-0.9150833328431128
ENSG00000215883,-0.8659932171804091
ENSG00000116221,-1.0702134886077375
ENSG00000157216,1.618970710947977
ENSG00000198711,2.163019593035593
ENSG00000162390,2.8980542793440134
ENSG00000243725,-0.41097117556893575
ENSG00000162396,1.3148746633251358
ENSG00000006555,0.9565984759644973
ENSG00000162398,-0.4362671348328178
ENSG00000116133,10.656771217967941
ENSG00000284601,NaN
ENSG00000162402,0.7719049137478019
ENSG00000231090,NaN
ENSG00000234810,25.702544305061217
